LCLid,tstp,energy(kWh/hh)
MAC000242,2011-12-02 10:30:00.0000000, 0.139
MAC000242,2011-12-02 11:00:00.0000000, 0.449 
MAC000242,2011-12-02 11:30:00.0000000, 0.118 
MAC000242,2011-12-02 12:00:00.0000000, 0.079 
MAC000242,2011-12-02 12:30:00.0000000, 0.07 
MAC000242,2011-12-02 13:00:00.0000000, 0.068 
MAC000242,2011-12-02 13:30:00.0000000, 0.079 
MAC000242,2011-12-02 14:00:00.0000000, 0.064 
MAC000242,2011-12-02 14:30:00.0000000, 0.069 
MAC000242,2011-12-02 15:00:00.0000000, 0.079 
MAC000242,2011-12-02 15:30:00.0000000, 0.058 
MAC000242,2011-12-02 16:00:00.0000000, 0.075 
MAC000242,2011-12-02 16:30:00.0000000, 0.079 
MAC000242,2011-12-02 17:00:00.0000000, 0.108 
MAC000242,2011-12-02 17:30:00.0000000, 0.237 
MAC000242,2011-12-02 18:00:00.0000000, 0.354 
MAC000242,2011-12-02 18:30:00.0000000, 0.535 
MAC000242,2011-12-02 19:00:00.0000000, 0.151 
MAC000242,2011-12-02 19:30:00.0000000, 0.123 
MAC000242,2011-12-02 20:00:00.0000000, 0.103 
MAC000242,2011-12-02 20:30:00.0000000, 0.117 
MAC000242,2011-12-02 21:00:00.0000000, 0.121 
MAC000242,2011-12-02 21:30:00.0000000, 0.105 
MAC000242,2011-12-02 22:00:00.0000000, 0.077 
MAC000242,2011-12-02 22:30:00.0000000, 0.08 
MAC000242,2011-12-02 23:00:00.0000000, 0.062 
MAC000242,2011-12-02 23:30:00.0000000, 0.035 
MAC000242,2011-12-03 00:00:00.0000000, 0.027 
MAC000242,2011-12-03 00:30:00.0000000, 0.009 
MAC000242,2011-12-03 01:00:00.0000000, 0.018 
MAC000242,2011-12-03 01:30:00.0000000, 0.027 
MAC000242,2011-12-03 02:00:00.0000000, 0.008 
MAC000242,2011-12-03 02:30:00.0000000, 0.021 
MAC000242,2011-12-03 03:00:00.0000000, 0.026 
MAC000242,2011-12-03 03:30:00.0000000, 0.002 
MAC000242,2011-12-03 04:00:00.0000000, 0.028 
MAC000242,2011-12-03 04:30:00.0000000, 0.019 
MAC000242,2011-12-03 05:00:00.0000000, 0.009 
MAC000242,2011-12-03 05:30:00.0000000, 0.027 
MAC000242,2011-12-03 06:00:00.0000000, 0.014 
MAC000242,2011-12-03 06:30:00.0000000, 0.013 
MAC000242,2011-12-03 07:00:00.0000000, 0.028 
MAC000242,2011-12-03 07:30:00.0000000, 0.189 
MAC000242,2011-12-03 08:00:00.0000000, 0.033 
MAC000242,2011-12-03 08:30:00.0000000, 0.028 
MAC000242,2011-12-03 09:00:00.0000000, 0.013 
MAC000242,2011-12-03 09:30:00.0000000, 0.021 
MAC000242,2011-12-03 10:00:00.0000000, 0.153 
MAC000242,2011-12-03 10:30:00.0000000, 0.063 
MAC000242,2011-12-03 11:00:00.0000000, 0.071 
MAC000242,2011-12-03 11:30:00.0000000, 0.078 
MAC000242,2011-12-03 12:00:00.0000000, 0.07 
MAC000242,2011-12-03 12:30:00.0000000, 0.107 
MAC000242,2011-12-03 13:00:00.0000000, 0.072 
MAC000242,2011-12-03 13:30:00.0000000, 0.136 
MAC000242,2011-12-03 14:00:00.0000000, 0.065 
MAC000242,2011-12-03 14:30:00.0000000, 0.086 
MAC000242,2011-12-03 15:00:00.0000000, 0.11 
MAC000242,2011-12-03 15:30:00.0000000, 0.088 
MAC000242,2011-12-03 16:00:00.0000000, 0.076 
MAC000242,2011-12-03 16:30:00.0000000, 0.09 
MAC000242,2011-12-03 17:00:00.0000000, 0.531 
MAC000242,2011-12-03 17:30:00.0000000, 0.299 
MAC000242,2011-12-03 18:00:00.0000000, 0.101 
MAC000242,2011-12-03 18:30:00.0000000, 0.114 
MAC000242,2011-12-03 19:00:00.0000000, 0.113 
MAC000242,2011-12-03 19:30:00.0000000, 0.114 
MAC000242,2011-12-03 20:00:00.0000000, 0.103 
MAC000242,2011-12-03 20:30:00.0000000, 0.195 
MAC000242,2011-12-03 21:00:00.0000000, 0.126 
MAC000242,2011-12-03 21:30:00.0000000, 0.066 
MAC000242,2011-12-03 22:00:00.0000000, 0.075 
MAC000242,2011-12-03 22:30:00.0000000, 0.068 
MAC000242,2011-12-03 23:00:00.0000000, 0.059 
MAC000242,2011-12-03 23:30:00.0000000, 0.034 
MAC000242,2011-12-04 00:00:00.0000000, 0.029 
MAC000242,2011-12-04 00:30:00.0000000, 0.02 
MAC000242,2011-12-04 01:00:00.0000000, 0.007 
MAC000242,2011-12-04 01:30:00.0000000, 0.028 
MAC000242,2011-12-04 02:00:00.0000000, 0.024 
MAC000242,2011-12-04 02:30:00.0000000, 0.006 
MAC000242,2011-12-04 03:00:00.0000000, 0.025 
MAC000242,2011-12-04 03:30:00.0000000, 0.025 
MAC000242,2011-12-04 04:00:00.0000000, 0.004 
MAC000242,2011-12-04 04:30:00.0000000, 0.026 
MAC000242,2011-12-04 05:00:00.0000000, 0.024 
MAC000242,2011-12-04 05:30:00.0000000, 0.005 
MAC000242,2011-12-04 06:00:00.0000000, 0.027 
MAC000242,2011-12-04 06:30:00.0000000, 0.021 
MAC000242,2011-12-04 07:00:00.0000000, 0.007 
MAC000242,2011-12-04 07:30:00.0000000, 0.028 
MAC000242,2011-12-04 08:00:00.0000000, 0.016 
MAC000242,2011-12-04 08:30:00.0000000, 0.013 
MAC000242,2011-12-04 09:00:00.0000000, 0.03 
MAC000242,2011-12-04 09:30:00.0000000, 0.012 
MAC000242,2011-12-04 10:00:00.0000000, 0.022 
MAC000242,2011-12-04 10:30:00.0000000, 0.058 
MAC000242,2011-12-04 11:00:00.0000000, 0.057 
MAC000242,2011-12-04 11:30:00.0000000, 0.269 
MAC000242,2011-12-04 12:00:00.0000000, 0.13 
MAC000242,2011-12-04 12:30:00.0000000, 0.098 
MAC000242,2011-12-04 13:00:00.0000000, 0.113 
MAC000242,2011-12-04 13:30:00.0000000, 0.115 
MAC000242,2011-12-04 14:00:00.0000000, 0.098 
MAC000242,2011-12-04 14:30:00.0000000, 0.122 
MAC000242,2011-12-04 15:00:00.0000000, 0.609 
MAC000242,2011-12-04 15:30:00.0000000, 0.144 
MAC000242,2011-12-04 16:00:00.0000000, 0.089 
MAC000242,2011-12-04 16:30:00.0000000, 0.446 
MAC000242,2011-12-04 17:00:00.0000000, 0.503 
MAC000242,2011-12-04 17:30:00.0000000, 0.498 
MAC000242,2011-12-04 18:00:00.0000000, 0.205 
MAC000242,2011-12-04 18:30:00.0000000, 0.104 
MAC000242,2011-12-04 19:00:00.0000000, 0.118 
MAC000242,2011-12-04 19:30:00.0000000, 0.118 
MAC000242,2011-12-04 20:00:00.0000000, 0.11 
