LCLid,datetime,energy(kWh/hh),temperature
MAC000092,2011-12-12 10:30:00,0.502,6.91
MAC000092,2011-12-12 11:00:00,0.098,6.91
MAC000092,2011-12-12 11:30:00,0.31,7.93
MAC000092,2011-12-12 12:00:00,0.5,7.93
MAC000092,2011-12-12 12:30:00,0.162,8.19
MAC000092,2011-12-12 13:00:00,0.22,8.19
MAC000092,2011-12-12 13:30:00,0.286,8.23
MAC000092,2011-12-12 14:00:00,0.285,8.23
MAC000092,2011-12-12 14:30:00,0.15,8.03
MAC000092,2011-12-12 15:00:00,0.107,8.03
MAC000092,2011-12-12 15:30:00,0.197,7.83
MAC000092,2011-12-12 16:00:00,0.267,7.83
MAC000092,2011-12-12 16:30:00,0.697,7.47
MAC000092,2011-12-12 17:00:00,0.505,7.47
MAC000092,2011-12-12 17:30:00,0.632,8.06
MAC000092,2011-12-12 18:00:00,0.442,8.06
MAC000092,2011-12-12 18:30:00,0.212,8.53
MAC000092,2011-12-12 19:00:00,0.217,8.53
MAC000092,2011-12-12 19:30:00,0.183,8.96
MAC000092,2011-12-12 20:00:00,0.129,8.96
MAC000092,2011-12-12 20:30:00,0.06,8.62
MAC000092,2011-12-12 21:00:00,0.27,8.62
MAC000092,2011-12-12 21:30:00,0.086,9.07
MAC000092,2011-12-12 22:00:00,0.215,9.07
MAC000092,2011-12-12 22:30:00,0.069,9.82
MAC000092,2011-12-12 23:00:00,0.18,9.82
MAC000092,2011-12-12 23:30:00,0.101,10.44
MAC000092,2011-12-13 00:00:00,0.028,10.44
MAC000092,2011-12-13 00:30:00,0.025,11.17
MAC000092,2011-12-13 01:00:00,0.004,11.17
MAC000092,2011-12-13 01:30:00,0.028,12.08
MAC000092,2011-12-13 02:00:00,0.029,12.08
MAC000092,2011-12-13 02:30:00,0.003,12.06
MAC000092,2011-12-13 03:00:00,0.0,12.06
MAC000092,2011-12-13 03:30:00,0.0,11.57
MAC000092,2011-12-13 04:00:00,0.033,11.57
MAC000092,2011-12-13 04:30:00,0.024,10.43
MAC000092,2011-12-13 05:00:00,0.0,10.43
MAC000092,2011-12-13 05:30:00,0.002,10.1
MAC000092,2011-12-13 06:00:00,0.0,10.1
MAC000092,2011-12-13 06:30:00,0.026,8.48
MAC000092,2011-12-13 07:00:00,0.14,8.48
MAC000092,2011-12-13 07:30:00,0.157,6.88
MAC000092,2011-12-13 08:00:00,0.101,6.88
MAC000092,2011-12-13 08:30:00,0.22,6.53
MAC000092,2011-12-13 09:00:00,0.169,6.53
MAC000092,2011-12-13 09:30:00,0.112,7.01
MAC000092,2011-12-13 10:00:00,0.122,7.01
MAC000092,2011-12-13 10:30:00,0.328,7.82
MAC000092,2011-12-13 11:00:00,0.185,7.82
MAC000092,2011-12-13 11:30:00,0.226,8.02
MAC000092,2011-12-13 12:00:00,0.128,8.02
MAC000092,2011-12-13 12:30:00,0.105,7.97
MAC000092,2011-12-13 13:00:00,0.065,7.97
MAC000092,2011-12-13 13:30:00,0.064,7.58
MAC000092,2011-12-13 14:00:00,0.158,7.58
MAC000092,2011-12-13 14:30:00,0.048,6.06
MAC000092,2011-12-13 15:00:00,0.06,6.06
MAC000092,2011-12-13 15:30:00,0.105,6.8
MAC000092,2011-12-13 16:00:00,0.072,6.8
MAC000092,2011-12-13 16:30:00,0.32,6.28
MAC000092,2011-12-13 17:00:00,0.873,6.28
MAC000092,2011-12-13 17:30:00,1.11,6.57
MAC000092,2011-12-13 18:00:00,0.69,6.57
MAC000092,2011-12-13 18:30:00,0.21,6.19
MAC000092,2011-12-13 19:00:00,0.325,6.19
MAC000092,2011-12-13 19:30:00,0.319,5.51
MAC000092,2011-12-13 20:00:00,0.17,5.51
MAC000092,2011-12-13 20:30:00,0.189,4.54
MAC000092,2011-12-13 21:00:00,0.075,4.54
MAC000092,2011-12-13 21:30:00,0.068,4.68
MAC000092,2011-12-13 22:00:00,0.169,4.68
MAC000092,2011-12-13 22:30:00,0.11,5.13
MAC000092,2011-12-13 23:00:00,0.086,5.13
MAC000092,2011-12-13 23:30:00,0.16,5.69
MAC000092,2011-12-14 00:00:00,0.028,5.69
MAC000092,2011-12-14 00:30:00,0.05,5.86
MAC000092,2011-12-14 01:00:00,0.021,5.86
MAC000092,2011-12-14 01:30:00,0.003,5.92
MAC000092,2011-12-14 02:00:00,0.0,5.92
MAC000092,2011-12-14 02:30:00,0.003,5.9
MAC000092,2011-12-14 03:00:00,0.044,5.9
MAC000092,2011-12-14 03:30:00,0.008,5.75
MAC000092,2011-12-14 04:00:00,0.003,5.75
MAC000092,2011-12-14 04:30:00,0.0,5.04
MAC000092,2011-12-14 05:00:00,0.003,5.04
MAC000092,2011-12-14 05:30:00,0.044,4.16
MAC000092,2011-12-14 06:00:00,0.008,4.16
MAC000092,2011-12-14 06:30:00,0.0,4.29
MAC000092,2011-12-14 07:00:00,0.173,4.29
MAC000092,2011-12-14 07:30:00,0.177,4.29
MAC000092,2011-12-14 08:00:00,1.011,4.29
MAC000092,2011-12-14 08:30:00,0.317,4.66
MAC000092,2011-12-14 09:00:00,0.427,4.66
MAC000092,2011-12-14 09:30:00,0.647,4.91
MAC000092,2011-12-14 10:00:00,0.307,4.91
MAC000092,2011-12-14 10:30:00,0.199,5.79
MAC000092,2011-12-14 11:00:00,0.09,5.79
MAC000092,2011-12-14 11:30:00,0.002,5.81
MAC000092,2011-12-14 12:00:00,0.0,5.81
MAC000092,2011-12-14 12:30:00,0.005,5.51
MAC000092,2011-12-14 13:00:00,0.043,5.51
MAC000092,2011-12-14 13:30:00,0.007,5.75
MAC000092,2011-12-14 14:00:00,0.147,5.75
MAC000092,2011-12-14 14:30:00,0.07,5.32
MAC000092,2011-12-14 15:00:00,0.093,5.32
MAC000092,2011-12-14 15:30:00,0.0,5.57
MAC000092,2011-12-14 16:00:00,0.0,5.57
MAC000092,2011-12-14 16:30:00,0.0,4.6
MAC000092,2011-12-14 17:00:00,0.013,4.6
MAC000092,2011-12-14 17:30:00,0.042,4.14
MAC000092,2011-12-14 18:00:00,0.193,4.14
MAC000092,2011-12-14 18:30:00,0.242,4.72
MAC000092,2011-12-14 19:00:00,0.292,4.72
MAC000092,2011-12-14 19:30:00,0.185,4.71
MAC000092,2011-12-14 20:00:00,0.164,4.71
MAC000092,2011-12-14 20:30:00,0.114,4.39
MAC000092,2011-12-14 21:00:00,0.072,4.39
MAC000092,2011-12-14 21:30:00,0.09,4.64
MAC000092,2011-12-14 22:00:00,0.165,4.64
MAC000092,2011-12-14 22:30:00,0.206,4.53
MAC000092,2011-12-14 23:00:00,0.25,4.53
MAC000092,2011-12-14 23:30:00,0.2,4.08
MAC000092,2011-12-15 00:00:00,0.058,4.08
MAC000092,2011-12-15 00:30:00,0.051,4.11
MAC000092,2011-12-15 01:00:00,0.042,4.11
MAC000092,2011-12-15 01:30:00,0.004,4.52
MAC000092,2011-12-15 02:00:00,0.0,4.52
MAC000092,2011-12-15 02:30:00,0.0,4.82
MAC000092,2011-12-15 03:00:00,0.022,4.82
MAC000092,2011-12-15 03:30:00,0.04,5.77
MAC000092,2011-12-15 04:00:00,0.0,5.77
MAC000092,2011-12-15 04:30:00,0.0,6.79
MAC000092,2011-12-15 05:00:00,0.0,6.79
MAC000092,2011-12-15 05:30:00,0.0,6.52
MAC000092,2011-12-15 06:00:00,0.044,6.52
MAC000092,2011-12-15 06:30:00,0.017,6.43
MAC000092,2011-12-15 07:00:00,0.003,6.43
