LCLid,datetime,energy(kWh/hh),temperature
MAC000002,2012-10-12 00:30:00,0.0,13.09
MAC000002,2012-10-12 01:00:00,0.0,13.09
MAC000002,2012-10-12 01:30:00,0.0,12.54
MAC000002,2012-10-12 02:00:00,0.0,12.54
MAC000002,2012-10-12 02:30:00,0.0,11.94
MAC000002,2012-10-12 03:00:00,0.0,11.94
MAC000002,2012-10-12 03:30:00,0.0,11.47
MAC000002,2012-10-12 04:00:00,0.0,11.47
MAC000002,2012-10-12 04:30:00,0.0,10.87
MAC000002,2012-10-12 05:00:00,0.0,10.87
MAC000002,2012-10-12 05:30:00,0.0,10.37
MAC000002,2012-10-12 06:00:00,0.0,10.37
MAC000002,2012-10-12 06:30:00,0.0,10.39
MAC000002,2012-10-12 07:00:00,0.0,10.39
MAC000002,2012-10-12 07:30:00,0.0,10.29
MAC000002,2012-10-12 08:00:00,0.0,10.29
MAC000002,2012-10-12 08:30:00,0.0,10.94
MAC000002,2012-10-12 09:00:00,0.0,10.94
MAC000002,2012-10-12 09:30:00,0.0,12.32
MAC000002,2012-10-12 10:00:00,0.0,12.32
MAC000002,2012-10-12 10:30:00,0.0,12.59
MAC000002,2012-10-12 11:30:00,0.143,13.86
MAC000002,2012-10-12 12:00:00,0.663,13.86
MAC000002,2012-10-12 12:30:00,0.256,13.99
MAC000002,2012-10-12 13:00:00,0.155,13.99
MAC000002,2012-10-12 13:30:00,0.199,13.52
MAC000002,2012-10-12 14:00:00,0.125,13.52
MAC000002,2012-10-12 14:30:00,0.165,12.69
MAC000002,2012-10-12 15:00:00,0.14,12.69
MAC000002,2012-10-12 15:30:00,0.148,12.46
MAC000002,2012-10-12 16:00:00,0.154,12.46
MAC000002,2012-10-12 16:30:00,0.137,11.31
MAC000002,2012-10-12 17:00:00,0.493,11.31
MAC000002,2012-10-12 17:30:00,0.354,10.39
MAC000002,2012-10-12 18:00:00,0.228,10.39
MAC000002,2012-10-12 18:30:00,0.195,9.38
MAC000002,2012-10-12 19:00:00,0.527,9.38
MAC000002,2012-10-12 19:30:00,0.886,8.93
MAC000002,2012-10-12 20:00:00,0.198,8.93
MAC000002,2012-10-12 20:30:00,0.243,8.93
MAC000002,2012-10-12 21:00:00,0.193,8.93
MAC000002,2012-10-12 21:30:00,0.342,8.51
MAC000002,2012-10-12 22:00:00,0.27,8.51
MAC000002,2012-10-12 22:30:00,0.325,8.97
MAC000002,2012-10-12 23:00:00,0.269,8.97
MAC000002,2012-10-12 23:30:00,0.29,8.78
MAC000002,2012-10-13 00:00:00,0.263,8.78
MAC000002,2012-10-13 00:30:00,0.269,8.27
MAC000002,2012-10-13 01:00:00,0.275,8.27
MAC000002,2012-10-13 01:30:00,0.256,7.87
MAC000002,2012-10-13 02:00:00,0.211,7.87
MAC000002,2012-10-13 02:30:00,0.136,7.89
MAC000002,2012-10-13 03:00:00,0.161,7.89
MAC000002,2012-10-13 03:30:00,0.119,7.74
MAC000002,2012-10-13 04:00:00,0.167,7.74
MAC000002,2012-10-13 04:30:00,0.109,7.33
MAC000002,2012-10-13 05:00:00,0.168,7.33
MAC000002,2012-10-13 05:30:00,0.107,6.5
MAC000002,2012-10-13 06:00:00,0.166,6.5
MAC000002,2012-10-13 06:30:00,0.117,6.47
MAC000002,2012-10-13 07:00:00,0.157,6.47
MAC000002,2012-10-13 07:30:00,0.126,7.84
MAC000002,2012-10-13 08:00:00,0.146,7.84
MAC000002,2012-10-13 08:30:00,0.106,9.12
MAC000002,2012-10-13 09:00:00,0.135,9.12
MAC000002,2012-10-13 09:30:00,0.191,10.66
MAC000002,2012-10-13 10:00:00,0.915,10.66
MAC000002,2012-10-13 10:30:00,0.933,10.58
MAC000002,2012-10-13 11:00:00,0.122,10.58
MAC000002,2012-10-13 11:30:00,0.138,11.43
MAC000002,2012-10-13 12:00:00,0.076,11.43
MAC000002,2012-10-13 12:30:00,0.133,11.38
MAC000002,2012-10-13 13:00:00,0.076,11.38
MAC000002,2012-10-13 13:30:00,0.133,11.53
MAC000002,2012-10-13 14:00:00,0.085,11.53
MAC000002,2012-10-13 14:30:00,0.263,10.11
MAC000002,2012-10-13 15:00:00,0.134,10.11
MAC000002,2012-10-13 15:30:00,0.235,10.27
MAC000002,2012-10-13 16:00:00,0.124,10.27
MAC000002,2012-10-13 16:30:00,0.184,9.91
